activity_id,date,type,distance_km,duration_min,pace_min_km,avg_hr,max_hr,cadence,stride_length_cm,vertical_oscillation,ground_contact_time,elevation_gain,elevation_loss,aerobic_te,anaerobic_te,vo2_max,calories,workload,acute,chronic,acwr
22204276268,2026-03-17 16:55:40,walking,4.6,50.54,10.99,98.0,138.0,0,83.5,0.0,0.0,86.65576171875,84.9798583984375,1.0,0.0,51.0,286.0,4.508,10.797799999999999,11.39565,0.9475369987670733
22215685255,2026-03-18 16:18:06,running,10.02,60.96,6.08,160.0,171.0,0,98.5,8.85999984741211,268.3999938964844,184.92706298828125,190.28021240234375,3.5999999046325684,0.0,51.0,762.0,16.032,11.277857142857142,11.672989285714285,0.9661498753073716
22235211038,2026-03-20 10:30:01,running,8.02,48.43,6.04,155.0,171.0,0,99.6,8.980000305175782,269.5,163.0177001953125,157.1033935546875,3.299999952316284,0.0,51.0,596.0,12.431,12.4268,11.822925000000001,1.0510766159812397
22244997811,2026-03-21 09:04:25,running,10.67,63.03,5.91,153.0,175.0,0,99.3,8.719999694824219,261.70001220703125,195.95611572265625,211.75335693359375,3.5,0.0,51.0,764.0,16.3251,12.893771428571428,11.830389285714286,1.0898856425748578
22262503758,2026-03-22 16:52:16,running,8.25,47.17,5.72,160.0,172.0,0,104.2,9.069999694824219,262.6000061035156,137.781494140625,150.77642822265625,3.4000000953674316,0.0,52.0,604.0,13.200000000000001,11.537171428571428,11.676164285714284,0.9880960173442478
22286102955,2026-03-24 18:46:15,running,12.1,68.06,5.62,161.0,171.0,0,107.1,9.290000152587892,263.70001220703125,221.02484130859375,227.47039794921875,3.9000000953674316,0.0,52.0,878.0,19.481,13.194257142857143,12.00702142857143,1.0988784538570584
22313856687,2026-03-27 10:01:30,running,11.37,65.04,5.72,162.0,188.0,0,104.9,9.15999984741211,264.29998779296875,224.0555419921875,216.3638916015625,4.0,0.0,52.0,839.0,18.4194,14.342357142857143,12.252914285714287,1.1705261955173345
22323361584,2026-03-28 09:03:53,running,14.38,84.03,5.84,161.0,174.0,0,100.8,8.819999694824219,262.0,255.493896484375,260.42218017578125,4.0,0.0,52.0,1058.0,23.1518,17.005757142857142,12.686142857142856,1.3404986318029797
22339365148,2026-03-29 16:45:51,running,8.8,50.04,5.69,158.0,168.0,0,103.9,8.95999984741211,259.8999938964844,156.13641357421875,155.6719970703125,3.5,0.0,52.0,642.0,13.904000000000002,16.701757142857144,12.716389285714286,1.3134040463530052
22361062009,2026-03-31 16:49:30,running,13.03,75.79,5.82,159.0,175.0,0,102.7,9.030000305175781,264.70001220703125,236.8284912109375,229.2781982421875,3.799999952316284,0.0,52.0,945.0,20.7177,17.885571428571428,13.146242857142855,1.3605082169049931
22371578452,2026-04-01 15:28:22,running,9.02,51.87,5.75,159.0,173.0,0,102.8,8.930000305175781,261.20001220703125,157.81787109375,162.29644775390625,3.5,0.0,52.0,663.0,14.3418,17.60224285714286,13.140735714285714,1.3395173025211136
22391035982,2026-04-03 11:25:28,running,7.59,47.37,6.24,147.0,169.0,0,97.6,8.730000305175782,272.3999938964844,145.74560546875,126.44384765625,3.0,2.0,52.0,543.0,11.1573,17.31042857142857,12.962485714285716,1.3354250838132895
